TIME	TEMP	VCCINT	VCCAUX	VCCBRAM	VP	VN	VAUXP[4]	VAUXN[4]	VAUXP[12]	VAUXN[12]
0	25	0.97	1.78	0.98	0.1	0	0	0	0	0
2000	27	0.975	1.789	0.985	0.2	0	0.025	0	0.039	0
4000	29	0.98	1.798	0.99	0.3	0	0.05	0	0.078	0
6000	31	0.985	1.807	0.995	0.4	0	0.075	0	0.118	0
8000	33	0.99	1.816	1	0.5	0	0.1	0	0.156	0
10000	35	0.995	1.825	1.005	0.6	0	0.125	0	0.195	0
12000	37	1	1.83	1.01	0.6	0	0.15	0	0.233	0
14000	39	1.005	1.83	1.015	0.6	0	0.175	0	0.271	0
16000	41	1.01	1.83	1.02	0.6	0	0.2	0	0.309	0
18000	43	1.015	1.83	1.025	0.6	0	0.225	0	0.346	0
20000	45	1.02	1.83	1.03	0.6	0	0.25	0	0.383	0
22000	47	1.02	1.83	1.03	0.6	0	0.275	0	0.419	0
24000	49	1.02	1.83	1.03	0.6	0	0.3	0	0.454	0
26000	51	1.02	1.83	1.03	0.6	0	0.325	0	0.489	0
28000	53	1.02	1.83	1.03	0.6	0	0.35	0	0.522	0
30000	55	1.02	1.83	1.03	0.6	0	0.375	0	0.556	0
32000	57	1.02	1.83	1.03	0.6	0	0.4	0	0.588	0
34000	59	1.02	1.83	1.03	0.6	0	0.425	0	0.619	0
36000	61	1.02	1.83	1.03	0.6	0	0.45	0	0.649	0
38000	63	1.02	1.83	1.03	0.6	0	0.475	0	0.679	0
40000	65	1.02	1.83	1.03	0.6	0	0.5	0	0.707	0
42000	67	1.02	1.83	1.03	0.6	0	0.525	0	0.734	0
44000	69	1.02	1.83	1.03	0.6	0	0.55	0	0.76	0
46000	70	1.02	1.83	1.03	0.6	0	0.575	0	0.785	0
48000	70	1.02	1.83	1.03	0.6	0	0.6	0	0.809	0
50000	70	1.02	1.83	1.03	0.6	0	0.625	0	0.831	0
52000	70	1.02	1.83	1.03	0.6	0	0.65	0	0.853	0
54000	70	1.02	1.83	1.03	0.6	0	0.675	0	0.872	0
56000	70	1.02	1.83	1.03	0.6	0	0.7	0	0.891	0
58000	70	1.02	1.83	1.03	0.6	0	0.725	0	0.908	0
60000	70	1.02	1.83	1.03	0.6	0	0.75	0	0.924	0
62000	70	1.02	1.83	1.03	0.6	0	0.775	0	0.938	0
64000	70	1.02	1.83	1.03	0.6	0	0.8	0	0.951	0
66000	70	1.02	1.83	1.03	0.6	0	0.825	0	0.962	0
68000	70	1.02	1.83	1.03	0.6	0	0.85	0	0.972	0
70000	70	1.02	1.83	1.03	0.6	0	0.875	0	0.981	0
72000	70	1.02	1.83	1.03	0.6	0	0.9	0	0.988	0
74000	70	1.02	1.83	1.03	0.6	0	0.925	0	0.993	0
76000	70	1.02	1.83	1.03	0.6	0	0.95	0	0.997	0
78000	70	1.02	1.83	1.03	0.6	0	0.975	0	0.999	0
80000	70	1.02	1.83	1.03	0.6	0	0	0	1	0
82000	70	1.02	1.83	1.03	0.6	0	0.025	0	0.999	0
84000	70	1.02	1.83	1.03	0.6	0	0.05	0	0.997	0
86000	70	1.02	1.83	1.03	0.6	0	0.075	0	0.993	0
88000	70	1.02	1.83	1.03	0.6	0	0.1	0	0.988	0
90000	70	1.02	1.83	1.03	0.6	0	0.125	0	0.981	0
92000	70	1.02	1.83	1.03	0.6	0	0.15	0	0.972	0
94000	70	1.02	1.83	1.03	0.6	0	0.175	0	0.962	0
96000	70	1.02	1.83	1.03	0.6	0	0.2	0	0.951	0
98000	70	1.02	1.83	1.03	0.6	0	0.225	0	0.938	0
100000	70	1.02	1.83	1.03	0.6	0	0.25	0	0.924	0
102000	70	1.02	1.83	1.03	0.6	0	0.275	0	0.908	0
104000	70	1.02	1.83	1.03	0.6	0	0.3	0	0.891	0
106000	70	1.02	1.83	1.03	0.6	0	0.325	0	0.872	0
108000	70	1.02	1.83	1.03	0.6	0	0.35	0	0.853	0
110000	70	1.02	1.83	1.03	0.6	0	0.375	0	0.831	0
112000	70	1.02	1.83	1.03	0.6	0	0.4	0	0.809	0
114000	70	1.02	1.83	1.03	0.6	0	0.425	0	0.785	0
116000	70	1.02	1.83	1.03	0.6	0	0.45	0	0.76	0
118000	70	1.02	1.83	1.03	0.6	0	0.475	0	0.734	0
120000	70	1.02	1.83	1.03	0.6	0	0.5	0	0.707	0
122000	70	1.02	1.83	1.03	0.6	0	0.525	0	0.679	0
124000	70	1.02	1.83	1.03	0.6	0	0.55	0	0.649	0
126000	70	1.02	1.83	1.03	0.6	0	0.575	0	0.619	0
128000	70	1.02	1.83	1.03	0.6	0	0.6	0	0.588	0
130000	70	1.02	1.83	1.03	0.6	0	0.625	0	0.556	0
132000	70	1.02	1.83	1.03	0.6	0	0.65	0	0.522	0
134000	70	1.02	1.83	1.03	0.6	0	0.675	0	0.489	0
136000	70	1.02	1.83	1.03	0.6	0	0.7	0	0.454	0
138000	70	1.02	1.83	1.03	0.6	0	0.725	0	0.419	0
140000	70	1.02	1.83	1.03	0.6	0	0.75	0	0.383	0
142000	70	1.02	1.83	1.03	0.6	0	0.775	0	0.346	0
144000	70	1.02	1.83	1.03	0.6	0	0.8	0	0.309	0
146000	70	1.02	1.83	1.03	0.6	0	0.825	0	0.271	0
148000	70	1.02	1.83	1.03	0.6	0	0.85	0	0.233	0
150000	70	1.02	1.83	1.03	0.6	0	0.875	0	0.195	0
152000	70	1.02	1.83	1.03	0.6	0	0.9	0	0.156	0
154000	70	1.02	1.83	1.03	0.6	0	0.925	0	0.118	0
156000	70	1.02	1.83	1.03	0.6	0	0.95	0	0.078	0
158000	70	1.02	1.83	1.03	0.6	0	0.975	0	0.039	0
160000	70	1.02	1.83	1.03	0.6	0	0	0	0	0
162000	70	1.02	1.83	1.03	0.6	0	0.025	0	0.039	0
164000	70	1.02	1.83	1.03	0.6	0	0.05	0	0.078	0
166000	70	1.02	1.83	1.03	0.6	0	0.075	0	0.118	0
168000	70	1.02	1.83	1.03	0.6	0	0.1	0	0.156	0
170000	70	1.02	1.83	1.03	0.6	0	0.125	0	0.195	0
172000	70	1.02	1.83	1.03	0.6	0	0.15	0	0.233	0
174000	70	1.02	1.83	1.03	0.6	0	0.175	0	0.271	0
176000	70	1.02	1.83	1.03	0.6	0	0.2	0	0.309	0
178000	70	1.02	1.83	1.03	0.6	0	0.225	0	0.346	0
180000	70	1.02	1.83	1.03	0.6	0	0.25	0	0.383	0
182000	70	1.02	1.83	1.03	0.6	0	0.275	0	0.419	0
184000	70	1.02	1.83	1.03	0.6	0	0.3	0	0.454	0
186000	70	1.02	1.83	1.03	0.6	0	0.325	0	0.489	0
188000	70	1.02	1.83	1.03	0.6	0	0.35	0	0.522	0
190000	70	1.02	1.83	1.03	0.6	0	0.375	0	0.556	0
192000	70	1.02	1.83	1.03	0.6	0	0.4	0	0.588	0
194000	70	1.02	1.83	1.03	0.6	0	0.425	0	0.619	0
196000	70	1.02	1.83	1.03	0.6	0	0.45	0	0.649	0
198000	70	1.02	1.83	1.03	0.6	0	0.475	0	0.679	0
200000	70	1.02	1.83	1.03	0.6	0	0.5	0	0.707	0
202000	70	1.02	1.83	1.03	0.6	0	0.525	0	0.734	0
204000	70	1.02	1.83	1.03	0.6	0	0.55	0	0.76	0
206000	70	1.02	1.83	1.03	0.6	0	0.575	0	0.785	0
208000	70	1.02	1.83	1.03	0.6	0	0.6	0	0.809	0
210000	70	1.02	1.83	1.03	0.6	0	0.625	0	0.831	0
212000	70	1.02	1.83	1.03	0.6	0	0.65	0	0.853	0
214000	70	1.02	1.83	1.03	0.6	0	0.675	0	0.872	0
216000	70	1.02	1.83	1.03	0.6	0	0.7	0	0.891	0
218000	70	1.02	1.83	1.03	0.6	0	0.725	0	0.908	0
220000	70	1.02	1.83	1.03	0.6	0	0.75	0	0.924	0
222000	70	1.02	1.83	1.03	0.6	0	0.775	0	0.938	0
224000	70	1.02	1.83	1.03	0.6	0	0.8	0	0.951	0
226000	70	1.02	1.83	1.03	0.6	0	0.825	0	0.962	0
228000	70	1.02	1.83	1.03	0.6	0	0.85	0	0.972	0
230000	70	1.02	1.83	1.03	0.6	0	0.875	0	0.981	0
232000	70	1.02	1.83	1.03	0.6	0	0.9	0	0.988	0
234000	70	1.02	1.83	1.03	0.6	0	0.925	0	0.993	0
236000	70	1.02	1.83	1.03	0.6	0	0.95	0	0.997	0
238000	70	1.02	1.83	1.03	0.6	0	0.975	0	0.999	0
240000	70	1.02	1.83	1.03	0.6	0	0	0	1	0
242000	70	1.02	1.83	1.03	0.6	0	0.025	0	0.999	0
244000	70	1.02	1.83	1.03	0.6	0	0.05	0	0.997	0
246000	70	1.02	1.83	1.03	0.6	0	0.075	0	0.993	0
248000	70	1.02	1.83	1.03	0.6	0	0.1	0	0.988	0
250000	70	1.02	1.83	1.03	0.6	0	0.125	0	0.981	0
252000	70	1.02	1.83	1.03	0.6	0	0.15	0	0.972	0
254000	70	1.02	1.83	1.03	0.6	0	0.175	0	0.962	0
256000	70	1.02	1.83	1.03	0.6	0	0.2	0	0.951	0
258000	70	1.02	1.83	1.03	0.6	0	0.225	0	0.938	0
260000	70	1.02	1.83	1.03	0.6	0	0.25	0	0.924	0
262000	70	1.02	1.83	1.03	0.6	0	0.275	0	0.908	0
264000	70	1.02	1.83	1.03	0.6	0	0.3	0	0.891	0
266000	70	1.02	1.83	1.03	0.6	0	0.325	0	0.872	0
268000	70	1.02	1.83	1.03	0.6	0	0.35	0	0.853	0
270000	70	1.02	1.83	1.03	0.6	0	0.375	0	0.831	0
272000	70	1.02	1.83	1.03	0.6	0	0.4	0	0.809	0
274000	70	1.02	1.83	1.03	0.6	0	0.425	0	0.785	0
276000	70	1.02	1.83	1.03	0.6	0	0.45	0	0.76	0
278000	70	1.02	1.83	1.03	0.6	0	0.475	0	0.734	0
280000	70	1.02	1.83	1.03	0.6	0	0.5	0	0.707	0
282000	70	1.02	1.83	1.03	0.6	0	0.525	0	0.679	0
284000	70	1.02	1.83	1.03	0.6	0	0.55	0	0.649	0
286000	70	1.02	1.83	1.03	0.6	0	0.575	0	0.619	0
288000	70	1.02	1.83	1.03	0.6	0	0.6	0	0.588	0
290000	70	1.02	1.83	1.03	0.6	0	0.625	0	0.556	0
292000	70	1.02	1.83	1.03	0.6	0	0.65	0	0.522	0
294000	70	1.02	1.83	1.03	0.6	0	0.675	0	0.489	0
296000	70	1.02	1.83	1.03	0.6	0	0.7	0	0.454	0
298000	70	1.02	1.83	1.03	0.6	0	0.725	0	0.419	0
300000	70	1.02	1.83	1.03	0.6	0	0.75	0	0.383	0
302000	70	1.02	1.83	1.03	0.6	0	0.775	0	0.346	0
304000	70	1.02	1.83	1.03	0.6	0	0.8	0	0.309	0
306000	70	1.02	1.83	1.03	0.6	0	0.825	0	0.271	0
308000	70	1.02	1.83	1.03	0.6	0	0.85	0	0.233	0
310000	70	1.02	1.83	1.03	0.6	0	0.875	0	0.195	0
312000	70	1.02	1.83	1.03	0.6	0	0.9	0	0.156	0
314000	70	1.02	1.83	1.03	0.6	0	0.925	0	0.118	0
316000	70	1.02	1.83	1.03	0.6	0	0.95	0	0.078	0
318000	70	1.02	1.83	1.03	0.6	0	0.975	0	0.039	0
320000	70	1.02	1.83	1.03	0.6	0	0	0	0	0
322000	70	1.02	1.83	1.03	0.6	0	0.025	0	0.039	0
324000	70	1.02	1.83	1.03	0.6	0	0.05	0	0.078	0
326000	70	1.02	1.83	1.03	0.6	0	0.075	0	0.118	0
328000	70	1.02	1.83	1.03	0.6	0	0.1	0	0.156	0
330000	70	1.02	1.83	1.03	0.6	0	0.125	0	0.195	0
332000	70	1.02	1.83	1.03	0.6	0	0.15	0	0.233	0
334000	70	1.02	1.83	1.03	0.6	0	0.175	0	0.271	0
336000	70	1.02	1.83	1.03	0.6	0	0.2	0	0.309	0
338000	70	1.02	1.83	1.03	0.6	0	0.225	0	0.346	0
340000	70	1.02	1.83	1.03	0.6	0	0.25	0	0.383	0
342000	70	1.02	1.83	1.03	0.6	0	0.275	0	0.419	0
344000	70	1.02	1.83	1.03	0.6	0	0.3	0	0.454	0
346000	70	1.02	1.83	1.03	0.6	0	0.325	0	0.489	0
348000	70	1.02	1.83	1.03	0.6	0	0.35	0	0.522	0
350000	70	1.02	1.83	1.03	0.6	0	0.375	0	0.556	0
352000	70	1.02	1.83	1.03	0.6	0	0.4	0	0.588	0
354000	70	1.02	1.83	1.03	0.6	0	0.425	0	0.619	0
356000	70	1.02	1.83	1.03	0.6	0	0.45	0	0.649	0
358000	70	1.02	1.83	1.03	0.6	0	0.475	0	0.679	0
360000	70	1.02	1.83	1.03	0.6	0	0.5	0	0.707	0
362000	70	1.02	1.83	1.03	0.6	0	0.525	0	0.734	0
364000	70	1.02	1.83	1.03	0.6	0	0.55	0	0.76	0
366000	70	1.02	1.83	1.03	0.6	0	0.575	0	0.785	0
368000	70	1.02	1.83	1.03	0.6	0	0.6	0	0.809	0
370000	70	1.02	1.83	1.03	0.6	0	0.625	0	0.831	0
372000	70	1.02	1.83	1.03	0.6	0	0.65	0	0.853	0
374000	70	1.02	1.83	1.03	0.6	0	0.675	0	0.872	0
376000	70	1.02	1.83	1.03	0.6	0	0.7	0	0.891	0
378000	70	1.02	1.83	1.03	0.6	0	0.725	0	0.908	0
380000	70	1.02	1.83	1.03	0.6	0	0.75	0	0.924	0
382000	70	1.02	1.83	1.03	0.6	0	0.775	0	0.938	0
384000	70	1.02	1.83	1.03	0.6	0	0.8	0	0.951	0
386000	70	1.02	1.83	1.03	0.6	0	0.825	0	0.962	0
388000	70	1.02	1.83	1.03	0.6	0	0.85	0	0.972	0
390000	70	1.02	1.83	1.03	0.6	0	0.875	0	0.981	0
392000	70	1.02	1.83	1.03	0.6	0	0.9	0	0.988	0
394000	70	1.02	1.83	1.03	0.6	0	0.925	0	0.993	0
396000	70	1.02	1.83	1.03	0.6	0	0.95	0	0.997	0
398000	70	1.02	1.83	1.03	0.6	0	0.975	0	0.999	0
